theta0,w0,safe
-0.1257,-3.9165,1
-0.0628,-3.9165,1
0.0000,-3.9165,1
0.0628,-3.9165,1
0.1257,-3.9165,1
0.1885,-3.9165,1
0.2513,-3.9165,1
0.3142,-3.9165,1
0.3770,-3.9165,1
0.4398,-3.9165,1
0.5027,-3.9165,1
0.5655,-3.9165,1
0.6283,-3.9165,1
0.6912,-3.9165,1
0.7540,-3.9165,1
0.8168,-3.9165,1
0.8796,-3.9165,1
0.9425,-3.9165,1
1.0053,-3.9165,1
1.0681,-3.9165,1
1.1310,-3.9165,1
1.1938,-3.9165,1
1.2566,-3.9165,1
1.3195,-3.9165,1
1.3823,-3.9165,1
1.4451,-3.9165,1
1.5080,-3.9165,1
1.5708,-3.9165,1
1.6336,-3.9165,1
1.6965,-3.9165,1
1.7593,-3.9165,0
1.8221,-3.9165,0
1.8850,-3.9165,0
-1.8850,-3.6861,0
-1.8221,-3.6861,1
-1.7593,-3.6861,1
-1.6965,-3.6861,1
-1.6336,-3.6861,1
-1.5708,-3.6861,1
-1.5080,-3.6861,1
-1.4451,-3.6861,1
-1.3823,-3.6861,1
-1.3195,-3.6861,1
-1.2566,-3.6861,1
-1.1938,-3.6861,1
-1.1310,-3.6861,1
-1.0681,-3.6861,1
-1.0053,-3.6861,1
-0.9425,-3.6861,1
-0.8796,-3.6861,1
-0.8168,-3.6861,1
-0.7540,-3.6861,1
-0.6912,-3.6861,1
-0.6283,-3.6861,1
-0.5655,-3.6861,1
-0.5027,-3.6861,1
-0.4398,-3.6861,1
-0.3770,-3.6861,1
-0.3142,-3.6861,1
-0.2513,-3.6861,1
-0.1885,-3.6861,1
-0.1257,-3.6861,1
-0.0628,-3.6861,1
0.0000,-3.6861,1
0.0628,-3.6861,1
0.1257,-3.6861,1
0.1885,-3.6861,1
0.2513,-3.6861,1
0.3142,-3.6861,1
0.3770,-3.6861,1
0.4398,-3.6861,1
0.5027,-3.6861,1
0.5655,-3.6861,1
0.6283,-3.6861,1
0.6912,-3.6861,1
0.7540,-3.6861,1
0.8168,-3.6861,1
0.8796,-3.6861,1
0.9425,-3.6861,1
1.0053,-3.6861,1
1.0681,-3.6861,1
1.1310,-3.6861,1
1.1938,-3.6861,1
1.2566,-3.6861,1
1.3195,-3.6861,1
1.3823,-3.6861,1
1.4451,-3.6861,1
1.5080,-3.6861,1
1.5708,-3.6861,1
1.6336,-3.6861,1
1.6965,-3.6861,1
1.7593,-3.6861,0
1.8221,-3.6861,0
1.8850,-3.6861,0
-1.8850,-3.4558,0
-1.8221,-3.4558,1
-1.7593,-3.4558,1
-1.6965,-3.4558,1
-1.6336,-3.4558,1
-1.5708,-3.4558,1
-1.5080,-3.4558,1
-1.4451,-3.4558,1
-1.3823,-3.4558,1
-1.3195,-3.4558,1
-1.2566,-3.4558,1
-1.1938,-3.4558,1
-1.1310,-3.4558,1
-1.0681,-3.4558,1
-1.0053,-3.4558,1
-0.9425,-3.4558,1
-0.8796,-3.4558,1
-0.8168,-3.4558,1
-0.7540,-3.4558,1
-0.6912,-3.4558,1
-0.6283,-3.4558,1
-0.5655,-3.4558,1
-0.5027,-3.4558,1
-0.4398,-3.4558,1
-0.3770,-3.4558,1
-0.3142,-3.4558,1
-0.2513,-3.4558,1
-0.1885,-3.4558,1
-0.1257,-3.4558,1
-0.0628,-3.4558,1
0.0000,-3.4558,1
0.0628,-3.4558,1
0.1257,-3.4558,1
0.1885,-3.4558,1
0.2513,-3.4558,1
0.3142,-3.4558,1
0.3770,-3.4558,1
0.4398,-3.4558,1
0.5027,-3.4558,1
0.5655,-3.4558,1
0.6283,-3.4558,1
0.6912,-3.4558,1
0.7540,-3.4558,1
0.8168,-3.4558,1
0.8796,-3.4558,1
0.9425,-3.4558,1
1.0053,-3.4558,1
1.0681,-3.4558,1
1.1310,-3.4558,1
1.1938,-3.4558,1
1.2566,-3.4558,1
1.3195,-3.4558,1
1.3823,-3.4558,1
1.4451,-3.4558,1
1.5080,-3.4558,1
1.5708,-3.4558,1
1.6336,-3.4558,1
1.6965,-3.4558,1
1.7593,-3.4558,1
1.8221,-3.4558,0
1.8850,-3.4558,0
-1.8850,-3.2254,0
-1.8221,-3.2254,1
-1.7593,-3.2254,1
-1.6965,-3.2254,1
-1.6336,-3.2254,1
-1.5708,-3.2254,1
-1.5080,-3.2254,1
-1.4451,-3.2254,1
-1.3823,-3.2254,1
-1.3195,-3.2254,1
-1.2566,-3.2254,1
-1.1938,-3.2254,1
-1.1310,-3.2254,1
-1.0681,-3.2254,1
-1.0053,-3.2254,1
-0.9425,-3.2254,1
-0.8796,-3.2254,1
-0.8168,-3.2254,1
-0.7540,-3.2254,1
-0.6912,-3.2254,1
-0.6283,-3.2254,1
-0.5655,-3.2254,1
-0.5027,-3.2254,1
-0.4398,-3.2254,1
-0.3770,-3.2254,1
-0.3142,-3.2254,1
-0.2513,-3.2254,1
-0.1885,-3.2254,1
-0.1257,-3.2254,1
-0.0628,-3.2254,1
0.0000,-3.2254,1
0.0628,-3.2254,1
0.1257,-3.2254,1
0.1885,-3.2254,1
0.2513,-3.2254,1
0.3142,-3.2254,1
0.3770,-3.2254,1
0.4398,-3.2254,1
0.5027,-3.2254,1
0.5655,-3.2254,1
0.6283,-3.2254,1
0.6912,-3.2254,1
0.7540,-3.2254,1
0.8168,-3.2254,1
0.8796,-3.2254,1
0.9425,-3.2254,1
1.0053,-3.2254,1
1.0681,-3.2254,1
1.1310,-3.2254,1
1.1938,-3.2254,1
1.2566,-3.2254,1
1.3195,-3.2254,1
1.3823,-3.2254,1
1.4451,-3.2254,1
1.5080,-3.2254,1
1.5708,-3.2254,1
1.6336,-3.2254,1
